GCA_045709785.1	CFBP 1712
GCA_045709795.1	CFBP 1124
GCA_045709885.1	Xc02
GCA_045710645.1	Xcc-G
GCA_045711285.1	CFBP 8242
GCA_045711305.1	IPV-CT 62.4
GCA_045711325.1	DAPP-PG 308
GCA_045711565.1	MBG-63.1
GCA_045711605.1	MBG-107.1
GCA_045711635.1	MBG-39.2
GCA_045712945.1	419
GCA_045712955.1	483
GCA_045712965.1	8004
GCA_045713335.1	bglFP 6813
GCA_045714255.1	CFBP 7156
GCA_045717885.1	IPO 3367
GCA_045719835.1	bglFP 6746
GCA_045719845.1	CFBP 8405
GCA_045720295.1	CFBP 1710
GCA_045720785.1	CFBP 1121
GCA_045721555.1	LMG 08106
GCA_045721565.1	LMG 08099
GCA_045721575.1	LMG 08081
GCA_045721965.1	LMG 08007
GCA_045721975.1	LMG 08006
GCA_045721985.1	LMG 08005
GCA_045722715.1	LMG 08003
GCA_045722725.1	LMG 08001
GCA_045722735.1	LMG 07663
GCA_045723185.1	LMG 07461
GCA_045723195.1	LMG 07460
GCA_045723205.1	LMG 00583
GCA_045723815.1	LMG 00574
GCA_045723825.1	LMG 00572
GCA_045723835.1	LMG 00569
GCA_045724485.1	CFBP 8406
GCA_045725015.1	CFBP 6863
GCA_045725025.1	CFBP 1713
GCA_045725035.1	bglFP 6745
GCA_045725265.1	NBC831
GCA_045725275.1	CFBP 4956
GCA_045725285.1	IPO 634
GCA_045726115.1	CFBP 6943
GCA_047458635.1	WHRI 8815
GCA_047458675.1	WHRI 8497
GCA_047458695.1	WHRI 8806
GCA_047458715.1	WHRI 6185
GCA_047458735.1	WHRI 6382
GCA_047458755.1	WHRI 6181
GCA_047458775.1	WHRI 3880
GCA_047458795.1	WHRI 7758
GCA_047458815.1	WHRI 7806
GCA_047458835.1	WHRI 1279A
GCA_047458855.1	WHRI 8819
GCA_047458875.1	WHRI 3849A
GCA_047458895.1	WHRI 6312A
GCA_047458915.1	WHRI 6195
GCA_047458975.1	WHRI 3811
GCA_048595625.1	BJSJQ20200612-pXX3-4
GCA_052656955.1	NSTU_AG-1
GCA_053646645.1	WHRI 3851A
GCA_053646735.1	WHRI 738C
GCA_053646755.1	WHRI 3873
GCA_900002225.1	CN11
GCA_900002235.1	CN12
GCA_900002245.1	CN13
GCA_900002255.1	CN20
GCA_900002295.1	CFBP4953
GCA_900034305.1	CN18
GCA_900036155.1	CFBP6863
GCA_900039345.1	CN19
GCA_900039355.1	CFBP4956
GCA_900044145.1	CFBP1119
